ENA_Run	COG_ID
ERR4458966	CAMB-71A93
ERR4458991	CAMB-71AA2
ERR4458978	CAMB-71AC0
ERR4459028	CAMB-71ADF
ERR4458896	CAMB-71AEE
ERR4459055	CAMB-71AFD
ERR4459077	CAMB-71B09
ERR4458938	CAMB-71B18
ERR4458939	CAMB-71B27
ERR4458879	CAMB-71B36
ERR4458930	CAMB-71B45
ERR4458983	CAMB-71B54
ERR4459016	CAMB-71B63
ERR4458931	CAMB-71B72
ERR4458851	CAMB-71B81
ERR4458987	CAMB-71BBE
ERR4459079	CAMB-71BCD
ERR4458849	CAMB-71BDC
ERR4458858	CAMB-71BEB
ERR4458920	CAMB-71BFA
ERR4459073	CAMB-71C06
ERR4459053	CAMB-71C15
ERR4458874	CAMB-71C24
ERR4459025	CAMB-71C33
ERR4459002	CAMB-71C42
ERR4458936	CAMB-71C51
ERR4458926	CAMB-71C60
ERR4458969	CAMB-71C7F
ERR4458884	CAMB-71C8E
ERR4458956	CAMB-71C9D
ERR4458859	CAMB-71CAC
ERR4459074	CAMB-71CBB
ERR4458929	CAMB-71CCA
ERR4458909	CAMB-71CD9
ERR4459023	CAMB-71CE8
ERR4458942	CAMB-71CF7
ERR4458847	CAMB-71D03
ERR4458998	CAMB-71D12
ERR4458965	CAMB-71D21
ERR4458869	CAMB-71D30
ERR4459058	CAMB-71D4F
ERR4459007	CAMB-71D6D
ERR4458918	CAMB-71D7C
ERR4458888	CAMB-71D8B
ERR4459176	CAMB-71D9A
ERR4459272	CAMB-71DA9
ERR4459341	CAMB-71DB8
ERR4459286	CAMB-71DC7
ERR4459203	CAMB-71DD6
ERR4459383	CAMB-71DE5
ERR4459131	CAMB-71DF4
ERR4459139	CAMB-71E00
ERR4459318	CAMB-71E2E
ERR4458971	CAMB-71E3D
ERR4458921	CAMB-71E4C
ERR4458854	CAMB-71E5B
ERR4458973	CAMB-71E6A
ERR4458952	CAMB-71E79
ERR4459032	CAMB-71E88
ERR4458870	CAMB-71E97
ERR4459043	CAMB-71EA6
ERR4458865	CAMB-71EB5
ERR4458968	CAMB-71EC4
ERR4458908	CAMB-71ED3
ERR4459059	CAMB-71EE2
ERR4459049	CAMB-71EF1
ERR4458946	CAMB-71F0D
ERR4458911	CAMB-71F1C
ERR4459078	CAMB-71F2B
ERR4458864	CAMB-71F3A
ERR4458945	CAMB-71F49
ERR4459011	CAMB-71F58
ERR4459062	CAMB-71F67
ERR4459020	CAMB-71F76
ERR4458975	CAMB-71F85
ERR4458905	CAMB-71F94
ERR4458985	CAMB-71FA3
ERR4458994	CAMB-71FB2
ERR4458988	CAMB-71FD0
ERR4458900	CAMB-71FEF
ERR4459063	CAMB-71FFE
ERR4459037	CAMB-72009
ERR4458863	CAMB-72018
ERR4459061	CAMB-72027
ERR4458901	CAMB-72036
ERR4458950	CAMB-72045
ERR4459042	CAMB-72054
ERR4459069	CAMB-72063
ERR4459018	CAMB-72072
ERR4458981	CAMB-72081
ERR4459071	CAMB-72090
ERR4458906	CAMB-720AF
ERR4458904	CAMB-720BE
ERR4459044	CAMB-720CD
ERR4459060	CAMB-720DC
ERR4458948	CAMB-720EB
ERR4458861	CAMB-720FA
ERR4459045	CAMB-72106
ERR4458894	CAMB-72115
ERR4458876	CAMB-72124
ERR4458959	CAMB-72133
ERR4458979	CAMB-72142
ERR4459056	CAMB-72151
ERR4459009	CAMB-72160
ERR4458927	CAMB-7217F
ERR4458917	CAMB-7218E
ERR4458944	CAMB-7219D
ERR4458875	CAMB-721AC
ERR4459027	CAMB-721BB
ERR4458974	CAMB-721CA
ERR4458972	CAMB-721D9
ERR4458976	CAMB-721F7
ERR4458990	CAMB-72203
ERR4458941	CAMB-72221
ERR4459014	CAMB-72230
ERR4458922	CAMB-7224F
ERR4458860	CAMB-7225E
ERR4458997	CAMB-7226D
ERR4458943	CAMB-7228B
ERR4458866	CAMB-7229A
ERR4458912	CAMB-722A9
ERR4458899	CAMB-722B8
ERR4458872	CAMB-722C7
ERR4459026	CAMB-722D6
ERR4458924	CAMB-722E5
ERR4458937	CAMB-722F4
ERR4458980	CAMB-72300
ERR4458880	CAMB-7231F
ERR4458895	CAMB-7232E
ERR4458970	CAMB-7233D
ERR4458893	CAMB-7234C
ERR4459040	CAMB-7236A
ERR4458850	CAMB-72379
ERR4459033	CAMB-72388
ERR4459075	CAMB-723A6
ERR4458914	CAMB-723B5
ERR4459029	CAMB-723C4
ERR4458862	CAMB-723E2
ERR4459035	CAMB-723F1
ERR4458857	CAMB-7240D
ERR4458961	CAMB-7241C
ERR4458955	CAMB-7242B
ERR4458903	CAMB-7243A
ERR4459067	CAMB-72458
ERR4458940	CAMB-72467
ERR4458867	CAMB-72476
ERR4458915	CAMB-72485
ERR4458855	CAMB-72494
ERR4459019	CAMB-724A3
ERR4459070	CAMB-724B2
ERR4458889	CAMB-724C1
ERR4458951	CAMB-724D0
ERR4458891	CAMB-724EF
ERR4458919	CAMB-724FE
ERR4458996	CAMB-7250A
ERR4458934	CAMB-72519
ERR4458953	CAMB-72537
ERR4458856	CAMB-72546
ERR4459065	CAMB-72564
ERR4459072	CAMB-72573
ERR4459047	CAMB-72582
ERR4459012	CAMB-72591
ERR4458935	CAMB-725A0
ERR4459030	CAMB-725BF
ERR4459046	CAMB-725DD
ERR4459022	CAMB-725EC
ERR4458947	CAMB-725FB
ERR4459031	CAMB-72607
ERR4458848	CAMB-72616
ERR4458967	CAMB-72625
ERR4458962	CAMB-72634
ERR4459052	CAMB-72652
ERR4458881	CAMB-72661
ERR4458887	CAMB-72670
ERR4459066	CAMB-7268F
ERR4459021	CAMB-7269E
ERR4458892	CAMB-726AD
ERR4458928	CAMB-726BC
ERR4458923	CAMB-726CB
ERR4458932	CAMB-726DA
ERR4459001	CAMB-726E9
ERR4459006	CAMB-726F8
ERR4459004	CAMB-72704
ERR4458977	CAMB-72713
ERR4458964	CAMB-72722
ERR4458954	CAMB-72731
ERR4458963	CAMB-72740
ERR4459048	CAMB-7275F
ERR4459003	CAMB-7276E
ERR4458957	CAMB-7277D
ERR4458882	CAMB-7278C
ERR4458890	CAMB-7279B
ERR4459051	CAMB-727AA
ERR4458853	CAMB-727C8
ERR4459015	CAMB-727D7
ERR4458898	CAMB-727E6
ERR4459054	CAMB-727F5
ERR4458916	CAMB-72801
ERR4459076	CAMB-72810
ERR4458925	CAMB-7282F
ERR4458999	CAMB-7283E
ERR4458910	CAMB-7284D
ERR4458852	CAMB-7285C
ERR4459057	CAMB-7286B
ERR4458949	CAMB-7287A
ERR4459038	CAMB-72889
ERR4458993	CAMB-72898
ERR4458958	CAMB-728A7
ERR4459068	CAMB-728B6
ERR4458995	CAMB-728C5
ERR4458886	CAMB-728D4
ERR4459039	CAMB-728E3
ERR4458877	CAMB-728F2
ERR4459008	CAMB-7291D
ERR4459034	CAMB-7292C
ERR4459013	CAMB-7293B
ERR4458913	CAMB-7294A
ERR4458878	CAMB-72959
ERR4459000	CAMB-72968
ERR4458984	CAMB-72977
ERR4458883	CAMB-72986
ERR4459010	CAMB-72995
ERR4458885	CAMB-729A4
ERR4458907	CAMB-729C2
ERR4459024	CAMB-729D1
ERR4458897	CAMB-729E0
ERR4458873	CAMB-729FF
ERR4459005	CAMB-72A0B
ERR4458871	CAMB-72A1A
ERR4459017	CAMB-72A29
ERR4458960	CAMB-72A47
ERR4458989	CAMB-72A56
ERR4459064	CAMB-72A65
ERR4458982	CAMB-72A74
ERR4458933	CAMB-72A83
ERR4459050	CAMB-72AA1
ERR4458986	CAMB-72AB0
ERR4458992	CAMB-72ACF
ERR4459041	CAMB-72ADE
ERR4459036	CAMB-72AED
ERR4458868	CAMB-72AFC
ERR4458902	CAMB-72B17
ERR4082076	CAMB-73CC8
ERR4459683	CAMB-73CC8
ERR4459140	CAMB-7591A
ERR4459167	CAMB-75929
ERR4459302	CAMB-75938
ERR4459365	CAMB-75947
ERR4459366	CAMB-75956
ERR4459216	CAMB-75974
ERR4459353	CAMB-75983
ERR4459155	CAMB-75992
ERR4459390	CAMB-759A1
ERR4459158	CAMB-759B0
ERR4459262	CAMB-759CF
ERR4459372	CAMB-759DE
ERR4459359	CAMB-759ED
ERR4459134	CAMB-759FC
ERR4459357	CAMB-75A08
ERR4459288	CAMB-75A17
ERR4459350	CAMB-75A26
ERR4459277	CAMB-75A35
ERR4459387	CAMB-75A44
ERR4459211	CAMB-75A53
ERR4459251	CAMB-75A62
ERR4459268	CAMB-75A71
ERR4459136	CAMB-75A80
ERR4459384	CAMB-75A9F
ERR4459187	CAMB-75ABD
ERR4459217	CAMB-75ACC
ERR4459331	CAMB-75ADB
ERR4413629	CAMB-75AEA
ERR4459195	CAMB-75AF9
ERR4459218	CAMB-75B14
ERR4459181	CAMB-75B23
ERR4459173	CAMB-75B32
ERR4459256	CAMB-75B41
ERR4459247	CAMB-75B50
ERR4459355	CAMB-75B6F
ERR4459154	CAMB-75B7E
ERR4459241	CAMB-75B8D
ERR4459322	CAMB-75B9C
ERR4459183	CAMB-75BAB
ERR4459214	CAMB-75BBA
ERR4459175	CAMB-75BC9
ERR4459388	CAMB-75BD8
ERR4459248	CAMB-75BE7
ERR4459206	CAMB-75BF6
ERR4459321	CAMB-75C02
ERR4459266	CAMB-75C11
ERR4459386	CAMB-75C20
ERR4459229	CAMB-75C3F
ERR4459191	CAMB-75C4E
ERR4459180	CAMB-75C5D
ERR4459346	CAMB-75C6C
ERR4459177	CAMB-75C7B
ERR4459138	CAMB-75C8A
ERR4459313	CAMB-75CB7
ERR4459364	CAMB-75CC6
ERR4459207	CAMB-75CD5
ERR4459168	CAMB-75CE4
ERR4459334	CAMB-75CF3
ERR4459299	CAMB-75D0F
